ID,Name,InChI,InChIKey,SMILES,Solubility,Prediction
H-1,Acenaphthalene  ,InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H,HXGDTGSAIMULJN-UHFFFAOYSA-N,C1=CC2=C3C(=C1)C=CC3=CC=C2,-3.96,-5.01
H-2,Acetamide  ,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",DLFVBJFMPXGRIB-UHFFFAOYSA-N,CC(N)=O,1.58,0.8
H-3,Acetonitrile  ,InChI=1S/C2H3N/c1-2-3/h1H3,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,0.26,-0.2
H-4,Acetophenone  ,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)C1=CC=CC=C1,-1.28,-1.95
H-5,Acrolein  ,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,0.97,0.28
H-6,Acrylaldehyde  ,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",HGINCPLSRVDWNT-UHFFFAOYSA-N,C=CC=O,0.57,0.28
H-7,Acrylamide  ,"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)",HRPVXLWXLXDGHG-UHFFFAOYSA-N,C=CC(N)=O,0.98,0.23
H-8,Acrylonitrile  ,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",NLHHRLWOUZZQLW-UHFFFAOYSA-N,C=CC#N,0.15,-0.55
H-9,Amyl acetate  ,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",PGMYKACGEOXYJE-UHFFFAOYSA-N,CCCCCOC(C)=O,-1.89,-1.88
H-10,t-Amylbenzene  ,"InChI=1S/C11H16/c1-4-11(2,3)10-8-6-5-7-9-10/h5-9H,4H2,1-3H3",QHTJSSMHBLGUHV-UHFFFAOYSA-N,CCC(C)(C)C1=CC=CC=C1,-4.15,-4.57
H-11,Androstanedione  ,"InChI=1S/C19H28O2/c1-18-8-3-4-14(18)13-6-5-12-10-16(20)17(21)11-19(12,2)15(13)7-9-18/h12-15H,3-11H2,1-2H3",BVOKWOPQCAWSLV-UHFFFAOYSA-N,CC12CCCC1C1CCC3CC(=O)C(=O)CC3(C)C1CC2,-3.76,-5.92
H-12,Anisole  ,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",RDOXTESZEPMUJZ-UHFFFAOYSA-N,COC1=CC=CC=C1,-1.85,-1.54
H-13,Anthracene  ,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,MWPLVEDNUUSJAV-UHFFFAOYSA-N,C1=CC=C2C=C3C=CC=CC3=CC2=C1,-6.39,-5.57
H-14,Anthraquinone  ,InChI=1S/C14H8O2/c15-13-9-5-1-2-6-10(9)14(16)12-8-4-3-7-11(12)13/h1-8H,RZVHIXYEVGDQDX-UHFFFAOYSA-N,O=C1C2=CC=CC=C2C(=O)C2=C1C=CC=C2,-5.19,-3.65
H-15,Benzaldehyde  ,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=CC1=CC=CC=C1,-1.19,-1.29
H-16,Benzamide  ,"InChI=1S/C7H7NO/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H2,8,9)",KXDAEFPNCMNJSK-UHFFFAOYSA-N,NC(=O)C1=CC=CC=C1,-0.96,-1.14
H-17,Benzene  ,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,-1.64,-1.85
H-18,Benzo[a]fluorene  ,"InChI=1S/C17H12/c1-3-7-14-12(5-1)9-10-16-15-8-4-2-6-13(15)11-17(14)16/h1-10H,11H2",HKMTVMBEALTRRR-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC1=C2CC2=C1C=CC=C2,-6.68,-6.87
H-19,Benzo[a]pyrene  ,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,FMMWHPNWAFZXNH-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=C1C=CC3=CC=CC4=CC=C2C1=C34,-7.82,-8.31
H-20,Benzo[a]pyrene  ,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,FMMWHPNWAFZXNH-UHFFFAOYSA-N,C1=CC2=CC=C3C4=C(C=CC=C4)C=C4C=CC(=C1)C2=C43,-8.19,-8.31
H-21,Benzo[b]fluorene  ,"InChI=1S/C17H12/c1-2-6-13-11-17-15(9-12(13)5-1)10-14-7-3-4-8-16(14)17/h1-9,11H,10H2",HAPOJKSPCGLOOD-UHFFFAOYSA-N,C1=CC2=CC3=C(C=C2C=C1)C1=C(C=CC=C1)C3,-8.04,-6.65
H-22,Benzonitrile  ,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,JFDZBHWFFUWGJE-UHFFFAOYSA-N,N#CC1=CC=CC=C1,-1,-1.05
H-23,Benzophenone  ,InChI=1S/C13H10O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,RWCCWEUUXYIKHB-UHFFFAOYSA-N,O=C(C1=CC=CC=C1)C1=CC=CC=C1,-3.12,-3.66
H-24,Benzyl butyl phthalate  ,"InChI=1S/C19H20O4/c1-2-3-13-22-18(20)16-11-7-8-12-17(16)19(21)23-14-15-9-5-4-6-10-15/h4-12H,2-3,13-14H2,1H3",IRIAEXORFWYRCZ-UHFFFAOYSA-N,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC1=CC=CC=C1,-5.64,-5.01
H-25,Betamethasone  ,"InChI=1S/C28H37FO7/c1-6-23(33)35-15-22(32)28(36-24(34)7-2)16(3)12-20-19-9-8-17-13-18(30)10-11-25(17,4)27(19,29)21(31)14-26(20,28)5/h10-11,13,16,19-21,31H,6-9,12,14-15H2,1-5H3",CIWBQSYVNNPZIQ-UHFFFAOYSA-N,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-3.77,-5.04
H-26,Bibenzyl  ,"InChI=1S/C14H14/c1-3-7-13(8-4-1)11-12-14-9-5-2-6-10-14/h1-10H,11-12H2",QWUWMCYKGHVNAV-UHFFFAOYSA-N,C1=CC=C(CCC2=CC=CC=C2)C=C1,-4.62,-5.17
H-27,Biphenyl  ,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,C1=CC=C(C2=CC=CC=C2)C=C1,-4.31,-4.01
H-28,1-Bromo-2-methylpropane  ,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3",HLVFKOKELQSXIQ-UHFFFAOYSA-N,CC(C)CBr,-2.43,-2.18
H-29,1-Bromo-3-chloropropane  ,InChI=1S/C3H6BrCl/c4-2-1-3-5/h1-3H2,MFESCIUQSIBMSM-UHFFFAOYSA-N,ClCCCBr,-1.85,-2.07
H-30,1-Bromo-3-methylbutane  ,"InChI=1S/C5H11Br/c1-5(2)3-4-6/h5H,3-4H2,1-2H3",YXZFFTJAHVMMLF-UHFFFAOYSA-N,CC(C)CCBr,-2.89,-2.78
H-31,3-Bromo-4-hydroxybenzaldehyde  ,"InChI=1S/C7H5BrO2/c8-6-3-5(4-9)1-2-7(6)10/h1-4,10H",UOTMHAOCAJROQF-UHFFFAOYSA-N,O=CC1=CC=C(O)C(Br)=C1,-2.18,-1.91
H-32,Bromobenzene  ,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,QARVLSVVCXYDNA-UHFFFAOYSA-N,BrC1=CC=CC=C1,-2.55,-2.58
H-33,1-Bromobutane  ,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",MPPPKRYCTPRNTB-UHFFFAOYSA-N,CCCCBr,-2.37,-2.25
H-34,2-Bromochlorobenzene  ,InChI=1S/C6H4BrCl/c7-5-3-1-2-4-6(5)8/h1-4H,QBELEDRHMPMKHP-UHFFFAOYSA-N,ClC1=CC=CC=C1Br,-3.19,-3.37
H-35,3-Bromochlorobenzene  ,InChI=1S/C6H4BrCl/c7-5-2-1-3-6(8)4-5/h1-4H,JRGGUPZKKTVKOV-UHFFFAOYSA-N,ClC1=CC=CC(Br)=C1,-3.21,-3.37
H-36,Bromochloromethane  ,InChI=1S/CH2BrCl/c2-1-3/h1H2,JPOXNPPZZKNXOV-UHFFFAOYSA-N,ClCBr,-0.89,-0.96
H-37,Bromodichloromethane  ,InChI=1S/CHBrCl2/c2-1(3)4/h1H,FMWLUWPQPKEARP-UHFFFAOYSA-N,ClC(Cl)Br,-1.54,-1.39
H-38,Bromoethane  ,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",RDHPKYGYEGBMSE-UHFFFAOYSA-N,CCBr,-1.09,-1.04
H-39,1-Bromopropane  ,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",CYNYIHKIEHGYOZ-UHFFFAOYSA-N,CCCBr,-1.73,-1.62
H-40,2-Bromopropane  ,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3",NAMYKGVDVNBCFQ-UHFFFAOYSA-N,CC(C)Br,-1.59,-1.57
H-41,m-Bromotoluene  ,"InChI=1S/C7H7Br/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",WJIFKOVZNJTSGO-UHFFFAOYSA-N,CC1=CC=CC(Br)=C1,-3.52,-3.2
H-42,Butane  ,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,-2.95,-1.91
H-43,1-Butanol  ,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,0,0.33
H-44,2-Butanol  ,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,0.43,0.42
H-45,2-Butoxyethanol  ,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,-0.42,-0.19
H-46,Butyl acetate  ,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(C)=O,-1.24,-1.31
H-47,Butyl benzene  ,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",OCKPCBLVNKHBMX-UHFFFAOYSA-N,CCCCC1=CC=CC=C1,-4.06,-4.3
H-48,t-Butyl benzene  ,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",YTZKOQUCBOVLHL-UHFFFAOYSA-N,CC(C)(C)C1=CC=CC=C1,-3.66,-4.04
H-49,2-Butyl benzene  ,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3",ZJMWRROPUADPEA-UHFFFAOYSA-N,CCC(C)C1=CC=CC=C1,-3.89,-4.13
H-50,Butyraldehyde  ,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,-0.01,-0.15
H-51,Camphor  ,"InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3",DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC12CCC(CC1=O)C2(C)C,-1.88,-2.24
H-52,Caproaldehyde  ,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3",JARKCYVAAOWBJS-UHFFFAOYSA-N,CCCCCC=O,-1.3,-1.35
H-53,Caprylaldehyde  ,"InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3",NUJGJRNETVAIRJ-UHFFFAOYSA-N,CCCCCCCC=O,-2.36,-2.65
H-54,Carbon tetrachloride  ,"InChI=1S/CCl4/c2-1(3,4)5",VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,-2.29,-1.93
H-55,1-Chloro-2-Bromoethane  ,InChI=1S/C2H4BrCl/c3-1-2-4/h1-2H2,IBYHHJPAARCAIE-UHFFFAOYSA-N,ClCCBr,-1.32,-1.42
H-56,2-Chloro-2-methylbutane  ,"InChI=1S/C5H11Cl/c1-4-5(2,3)6/h4H2,1-3H3",CRNIHJHMEQZAAS-UHFFFAOYSA-N,CCC(C)(C)Cl,-2.51,-2.74
H-57,1-Chloro-2-methylpropane  ,"InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",QTBFPMKWQKYFLR-UHFFFAOYSA-N,CC(C)CCl,-2,-2.06
H-58,1-Chloro-4-nitrobenzene  ,InChI=1S/C6H4ClNO2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,CZGCEKJOLUNIFY-UHFFFAOYSA-N,C1=CC(=CC=C1[N+](=O)[O-])Cl,-2.92,-2.81
H-59,2-Chloroanisole  ,"InChI=1S/C7H7ClO/c1-9-7-5-3-2-4-6(7)8/h2-5H,1H3",QGRPVMLBTFGQDQ-UHFFFAOYSA-N,COC1=CC=CC=C1Cl,-2.46,-2.53
H-60,3-Chloroanisole  ,"InChI=1S/C7H7ClO/c1-9-7-4-2-3-6(8)5-7/h2-5H,1H3",YUKILTJWFRTXGB-UHFFFAOYSA-N,COC1=CC=CC(Cl)=C1,-2.78,-2.57
H-61,4-Chloroanisole  ,"InChI=1S/C7H7ClO/c1-9-7-4-2-6(8)3-5-7/h2-5H,1H3",YRGAYAGBVIXNAQ-UHFFFAOYSA-N,COC1=CC=C(Cl)C=C1,-2.78,-2.64
H-62,Chlorobenzene  ,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N,ClC1=CC=CC=C1,-2.41,-2.27
H-63,o-Chlorobiphenyl  ,InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,LAXBNTIAOJWAOP-UHFFFAOYSA-N,ClC1=CC=CC=C1C1=CC=CC=C1,-4.54,-4.85
H-64,m-Chlorobiphenyl  ,InChI=1S/C12H9Cl/c13-12-8-4-7-11(9-12)10-5-2-1-3-6-10/h1-9H,NMWSKOLWZZWHPL-UHFFFAOYSA-N,ClC1=CC(C2=CC=CC=C2)=CC=C1,-4.88,-4.85
H-65,p-Chlorobiphenyl  ,InChI=1S/C12H9Cl/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,FPWNLURCHDRMHC-UHFFFAOYSA-N,ClC1=CC=C(C2=CC=CC=C2)C=C1,-5.2,-4.84
H-66,1-Chlorobutane  ,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",VFWCMGCRMGJXDK-UHFFFAOYSA-N,CCCCCl,-2.03,-2.09
H-67,2-Chlorobutane  ,"InChI=1S/C4H9Cl/c1-3-4(2)5/h4H,3H2,1-2H3",BSPCSKHALVHRSR-UHFFFAOYSA-N,CCC(C)Cl,-1.96,-1.96
H-68,2-Chlorodibenzo-p-dioxin  ,InChI=1S/C12H7ClO2/c13-8-5-6-11-12(7-8)15-10-4-2-1-3-9(10)14-11/h1-7H,GIUGGRUEPHPVNR-UHFFFAOYSA-N,ClC1=CC=C2OC3=CC=CC=C3OC2=C1,-5.87,-4
H-69,Chlorodibromomethane  ,InChI=1S/CHBr2Cl/c2-1(3)4/h1H,GATVIKZLVQHOMN-UHFFFAOYSA-N,ClC(Br)Br,-1.9,-1.64
H-70,2-Chlorodiphenyl ether  ,InChI=1S/C12H9ClO/c13-11-8-4-5-9-12(11)14-10-6-2-1-3-7-10/h1-9H,IPBRZLMGGXHHMS-UHFFFAOYSA-N,ClC1=CC=CC=C1OC1=CC=CC=C1,-4.78,-4.3
H-71,1-Chlorohexane  ,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",MLRVZFYXUZQSRU-UHFFFAOYSA-N,CCCCCCCl,-3.12,-3.56
H-72,1-Chloropentane  ,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3",SQCZQTSHSZLZIQ-UHFFFAOYSA-N,CCCCCCl,-2.73,-2.88
H-73,2-Chloropentane  ,"InChI=1S/C5H11Cl/c1-3-4-5(2)6/h5H,3-4H2,1-2H3",NFRKUDYZEVQXTE-UHFFFAOYSA-N,CCCC(C)Cl,-2.63,-2.78
H-74,3-Chloropentane  ,"InChI=1S/C5H11Cl/c1-3-5(6)4-2/h5H,3-4H2,1-2H3",CXQSCYIVCSCSES-UHFFFAOYSA-N,CCC(Cl)CC,-2.63,-2.79
H-75,1-Chloropropane  ,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",SNMVRZFUUCLYTO-UHFFFAOYSA-N,CCCCl,-1.47,-1.3
H-76,2-Chloropropane  ,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3",ULYZAYCEDJDHCC-UHFFFAOYSA-N,CC(C)Cl,-1.41,-1.26
H-77,3-Chloropropylene  ,"InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2",OSDWBNJEKMUWAV-UHFFFAOYSA-N,C=CCCl,-1.36,-1.53
H-78,m-Chlorotoluene  ,"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",OSOUNOBYRMOXQQ-UHFFFAOYSA-N,CC1=CC=CC(Cl)=C1,-3.52,-3.04
H-79,o-Chlorotoluene  ,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",IBSQPLPBRSHTTG-UHFFFAOYSA-N,CC1=CC=CC=C1Cl,-3.52,-2.93
H-80,p-Chlorotoluene  ,"InChI=1S/C7H7Cl/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",NPDACUSDTOMAMK-UHFFFAOYSA-N,CC1=CC=C(Cl)C=C1,-3.08,-3.04
H-81,Cholesterol  ,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3",HVYWMOMLDIMFJA-UHFFFAOYSA-N,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-7,-7.14
H-82,Chrysene  ,InChI=1S/C18H12/c1-3-7-15-13(5-1)9-11-18-16-8-4-2-6-14(16)10-12-17(15)18/h1-12H,WDECIBYCCFPHNR-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC1=C3C=CC=CC3=CC=C21,-8.06,-7.66
H-83,Corticosterone  ,"InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3",OMFXVFTZEKFJBZ-UHFFFAOYSA-N,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.24,-3.88
H-84,Cortisone  ,"InChI=1S/C21H28O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-15,18,22,26H,3-8,10-11H2,1-2H3",MFYSYFVPBJMHGN-UHFFFAOYSA-N,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,-3.42
H-85,Coumarin  ,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,O=C1C=CC2=C(C=CC=C2)O1,-1.73,-2.16
H-86,"1,4-Cyclohexadiene  ","InChI=1S/C6H8/c1-2-4-6-5-3-1/h1-2,5-6H,3-4H2",UVJHQYIOXKWHFD-UHFFFAOYSA-N,C1=CCC=CC1,-1.97,-2.14
H-87,Cyclohexane  ,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,-3.1,-3.33
H-88,Cyclohexanol  ,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,-0.44,-0.77
H-89,Cyclohexanone  ,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,-0.6,-0.7
H-90,Cyclohexene  ,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1=CCCCC1,-2.59,-2.89
H-91,Cyclopentane  ,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,-2.64,-2.55
H-92,Cyclopentene  ,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2",LPIQUOYDBNQMRZ-UHFFFAOYSA-N,C1=CCCC1,-2.1,-2.14
H-93,Decachlorobiphenyl  ,InChI=1S/C12Cl10/c13-3-1(4(14)8(18)11(21)7(3)17)2-5(15)9(19)12(22)10(20)6(2)16,ONXPZLFXDMAPRO-UHFFFAOYSA-N,ClC1=C(Cl)C(Cl)=C(C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-11.62,-9.38
H-94,Decachlorodiphenyl ether  ,InChI=1S/C12Cl10O/c13-1-3(15)7(19)11(8(20)4(1)16)23-12-9(21)5(17)2(14)6(18)10(12)22,CIPFDHFTBYJKQB-UHFFFAOYSA-N,ClC1=C(Cl)C(Cl)=C(OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-12.95,-9.33
H-95,Di(2-ethylhexyl) phthalate  ,"InChI=1S/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3",BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-6.96,-6.56
H-96,Dibenzofuran  ,InChI=1S/C12H8O/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,TXCDCPKCNAJMEE-UHFFFAOYSA-N,C1=CC=C2C(=C1)OC1=CC=CC=C12,-4.44,-3.62
H-97,Dibenzo-p-dioxin  ,InChI=1S/C12H8O2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H,NFBOHOGPQUYFRF-UHFFFAOYSA-N,C1=CC=C2OC3=CC=CC=C3OC2=C1,-5.34,-2.98
H-98,Dibenzothiophene  ,InChI=1S/C12H8S/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,IYYZUPMFVPLQIF-UHFFFAOYSA-N,C1=CC=C2C(=C1)SC1=CC=CC=C12,-5.21,-4.04
H-99,"1,2-Dibromobenzene  ",InChI=1S/C6H4Br2/c7-5-3-1-2-4-6(5)8/h1-4H,WQONPSCCEXUXTQ-UHFFFAOYSA-N,BrC1=CC=CC=C1Br,-3.5,-3.71
H-100,"1,3-Dibromobenzene  ",InChI=1S/C6H4Br2/c7-5-2-1-3-6(8)4-5/h1-4H,JSRLURSZEMLAFO-UHFFFAOYSA-N,BrC1=CC=CC(Br)=C1,-3.54,-3.68
H-101,"1,4-Dibromobenzene  ",InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,SWJPEBQEEAHIGZ-UHFFFAOYSA-N,BrC1=CC=C(Br)C=C1,-4.07,-3.58
H-102,"4,4'-Dibromobiphenyl  ",InChI=1S/C12H8Br2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,HQJQYILBCQPYBI-UHFFFAOYSA-N,BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1,-7.74,-5.76
H-103,"1,2-Dibromoethane  ",InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,PAAZPARNPHGIKF-UHFFFAOYSA-N,BrCCBr,-1.68,-1.79
H-104,"1,2-Dibromoethylene  ",InChI=1S/C2H2Br2/c3-1-2-4/h1-2H,UWTUEMKLYAGTNQ-UHFFFAOYSA-N,BrC=CBr,-1.32,-1.73
H-105,Dibromomethane  ,InChI=1S/CH2Br2/c2-1-3/h1H2,FJBFPHVGVWTDIP-UHFFFAOYSA-N,BrCBr,-1.17,-1.29
H-106,"1,3-Dibromopropane  ",InChI=1S/C3H6Br2/c4-2-1-3-5/h1-3H2,VEFLKXRACNJHOV-UHFFFAOYSA-N,BrCCCBr,-2.08,-2.45
H-107,"1,2-Dibromopropane  ","InChI=1S/C3H6Br2/c1-3(5)2-4/h3H,2H2,1H3",XFNJYAKDBJUJAJ-UHFFFAOYSA-N,CC(Br)CBr,-2.15,-2.29
